연예인,도서명,저자,출판사,출처,"도서 정보 ""함수 : =GET_ALADIN_API_URL(B29 & "" "" & C29 & "" "" & D29)"")""","도서 이미지(==GET_ALADIN_COVER(B134 & "" "" & C134 & "" "" & D134))","연예인 이미지 ""=GET_COMMONS_IMAGE(A2) 함수 사용""",코멘트
가원(미야오),고왕국기,가스 닉스,자유문학사,https://theqoo.net/square/4054539851,,,https://talkimg.imbc.com/TVianUpload/tvian/TViews/image/2025/06/11/33abb8af-32eb-4863-b891-a8cdc82930c1.jpg,
가원(미야오),고전이 답했다,고명환,라곰,https://www.youtube.com/watch?v=b23MFnLN3Xw,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=345266070,https://image.aladin.co.kr/product/34526/60/cover500/k622932853_2.jpg,,
가원(미야오),그대는 나의 여름이 되세요,서덕준,위즈덤하우스,https://theqoo.net/square/4054539851,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=368542220,https://image.aladin.co.kr/product/36854/22/cover500/k542030400_1.jpg,,
가원(미야오),노르웨이의 숲,무라카미 하루키,민음사,https://theqoo.net/square/3693718898,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=115614994&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/11561/49/cover500/8937434482_1.jpg,,
가원(미야오),도리안 그레이의 초상,오스카 와일드,열린책들,https://theqoo.net/square/4054539851,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=8433436&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/843/34/cover500/8932911525_1.jpg,,
가원(미야오),모순,양귀자,쓰다,https://theqoo.net/square/4054539851,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=25843736&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/2584/37/cover500/8998441012_3.jpg,,
가원(미야오),비밀의 계절,도나 타트,은행나무,https://www.youtube.com/watch?v=b23MFnLN3Xw,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=62660810&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/6266/8/cover500/8956608806_1.jpg,,
가원(미야오),생쥐 기사 데스페로,케이트 디카밀로,비룡소,https://www.youtube.com/watch?v=b23MFnLN3Xw,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=533188&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/53/31/cover500/8949170760_2.jpg,,
가원(미야오),샤워젤과 소다수,고선경,문학동네,https://theqoo.net/square/4054539851,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=326306336&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/32630/63/cover500/8954696015_1.jpg,,
가원(미야오),세상에서 고양이가 사라진다면,가와무라 겐키,오퍼스프레스,https://theqoo.net/square/3693718898,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=47970524&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/4797/5/cover500/119514542x_3.jpg,,
가원(미야오),죄와 벌,도스토옙스키,민음사,https://theqoo.net/square/3693718898,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=16211750&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/1621/17/cover500/8937462842_3.jpg,,
가원(미야오),초급 한국어,문지혁,민음사,https://theqoo.net/square/4054539851,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=256944735&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/25694/47/cover500/8937473305_1.jpg,,
가원(미야오),해밀턴의 그리스로마신화,이디스 해밀턴,현대지성,https://www.youtube.com/watch?v=b23MFnLN3Xw,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=292053094&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/29205/30/cover500/k592837286_1.jpg,,
가원(미야오),흰,한강,,https://theqoo.net/square/3693718898,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=360994667&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/36099/46/cover500/k252038964_2.jpg,,
가을(아이브),군주론,니콜로 마키아벨리,현대지성,https://youtu.be/5yOKb_8-yT8,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=276097060&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/27609/70/cover500/k262733021_1.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Ive_Gaeul_at_Seoul_Fashion_Week%2C_1_September_2025_03_%28cropped%29.png,
가을(아이브),그리고 아무도 없었다,애거서 크리스티,황금가지,https://youtube.com/shorts/RN_iYC1uocY?si=5TMgnylvjpL8DRQj,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=34986856,https://image.aladin.co.kr/product/3498/68/cover500/896017775x_1.jpg,,
가을(아이브),살인자의 기억법,김영하,복복서가,https://youtu.be/5yOKb_8-yT8,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=249404000,https://image.aladin.co.kr/product/24940/40/cover500/k732632690_1.jpg,,
가을(아이브),셜록 홈즈 전집,아서 코난 도일,황금가지,https://youtu.be/5yOKb_8-yT8,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=383268,https://image.aladin.co.kr/product/38/32/cover500/8982734082_1.jpg,,
가을(아이브),소년이 온다,한강,창비,https://itssa.co.kr/free/23673494,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=40869703&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/4086/97/cover500/8936434128_2.jpg,,
가을(아이브),수확자,닐 셔스터먼,열린책들,https://youtu.be/5yOKb_8-yT8,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=310336717&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/31033/67/cover500/8932923043_1.jpg,,
가을(아이브),스노볼,박소영,창비,https://www.esquirekorea.co.kr/article/1878776,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=254297368&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/25429/73/cover500/8936456989_1.jpg,,
