연예인,도서명,저자,출판사,출처,"도서 정보 ""함수 : =GET_ALADIN_API_URL(B29 & "" "" & C29 & "" "" & D29)"")""","도서 이미지(==GET_ALADIN_COVER(B134 & "" "" & C134 & "" "" & D134))","연예인 이미지 ""=GET_COMMONS_IMAGE(A2) 함수 사용""",코멘트
가원(미야오),고전이 답했다,고명환,라곰,https://www.youtube.com/watch?v=b23MFnLN3Xw,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=345266070,https://image.aladin.co.kr/product/34526/60/cover500/k622932853_2.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3e/Gawon_at_PRADA_Photo_Call_in_2025_02.jpg,
가원(미야오),비밀의 계절,도나 타트,은행나무,https://www.youtube.com/watch?v=b23MFnLN3Xw,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=62660810&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/6266/8/cover500/8956608806_1.jpg,,
가원(미야오),생쥐 기사 데스페로,케이트 디카밀로,비룡소,https://www.youtube.com/watch?v=b23MFnLN3Xw,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=533188&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/53/31/cover500/8949170760_2.jpg,,
가원(미야오),해밀턴의 그리스로마신화,이디스 해밀턴,현대지성,https://www.youtube.com/watch?v=b23MFnLN3Xw,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=292053094&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/29205/30/cover500/k592837286_1.jpg,,
가을(아이브),군주론,니콜로 마키아벨리,현대지성,https://youtu.be/5yOKb_8-yT8,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=276097060&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/27609/70/cover500/k262733021_1.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Ive_Gaeul_at_Seoul_Fashion_Week%2C_1_September_2025_03_%28cropped%29.png,
가을(아이브),그리고 아무도 없었다,애거서 크리스티,황금가지,https://youtube.com/shorts/RN_iYC1uocY?si=5TMgnylvjpL8DRQj,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=34986856,https://image.aladin.co.kr/product/3498/68/cover500/896017775x_1.jpg,,
가을(아이브),살인자의 기억법,김영하,복복서가,https://youtu.be/5yOKb_8-yT8,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=249404000,https://image.aladin.co.kr/product/24940/40/cover500/k732632690_1.jpg,,
가을(아이브),셜록 홈즈 전집,아서 코난 도일,황금가지,https://youtu.be/5yOKb_8-yT8,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=383268,https://image.aladin.co.kr/product/38/32/cover500/8982734082_1.jpg,,
가을(아이브),소년이 온다,한강,창비,https://itssa.co.kr/free/23673494,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=40869703&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/4086/97/cover500/8936434128_2.jpg,,
가을(아이브),수확자,닐 셔스터먼,열린책들,https://youtu.be/5yOKb_8-yT8,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=310336717&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/29103/19/cover500/8936434608_1.jpg,,
