연예인,연예인_en
MJ(아스트로),
RM(BTS),RM
가원(미야오),Gaon (MEOVV)
가을(아이브),Gaeul (IVE)
강혜정,Kang Hye-jung
건호(코르티스),
고민시,Go Min-si
고아성,
고영배,
공민지,Gong Min-ji
공승연,
구혜선,
김규남,
김대명,
김동완(신화),
김민하,Kim Min-ha
김사월,
김새벽,
김서형,
김선아,
김세정,
김소현,Kim So-hyun
김시현,
김유정,
김윤아(자우림),Kim Yuna (Jaurim)
김윤진,
김지원,
김채원(르세라핌),
김태리,Kim Tae-ri
김태하,Kim Tae-ha
김한주(실리카겔),
김혜수,Kim Hye-soo
김혜윤,
김호영,
김효진,Kim Hyo-jin
나린(미야오),Narin (MEOVV)
나윤(모모랜드),
나윤선,
남주혁,
남지현,Nam Ji-hyun
낸시(모모랜드),
노제,Noze
닝닝(에스파),
다원(우주소녀),
다현(트와이스),Dahyun (TWICE)
데이지(모모랜드),Daisy (MOMOLAND)
도겸(세븐틴),
도영(NCT),
도훈(TWS),
디노(세븐틴),
라키(아스트로),
로운,Rowoon
로제(블랙핑크),
루다(우주소녀),
류수영,
류현경,
리아킴,
릴리(NMIXX),
마크(NCT),
마틴(코르티스),
문가영,Moon Ga-young
문별(마마무),
문소리,
문지애,
문채원,
미미(오마이걸),
미연(아이들),
민규,
민니,
민지(뉴진스),
밍기뉴,
박건욱,
박명수,
박보검,Park Bo-gum
박보영,Park Bo-young
박소담,
박은빈,
박재범,
박정민,
박지훈,Park Ji-hoon
박찬욱,Park Chan-wook
박하선,
박해수,
박해진,
박형식,
박훈,Park Hoon
박희순,
배이,
백예린,
백현,
버논(세븐틴),
변요한,
변우석,
보나(우주소녀),
봉준호,Bong Joon-ho
뷔(BTS),V (BTS)
비비,
빈지노,
사이먼 도미닉,
사쿠라(르세라핌),
산들,
서강준,Seo Kang-joon
서유리,
서지혜(1996),Seo Ji-hye
서현(소녀시대),
서현진,
석매튜,
선우정아,
설아(우주소녀),
설윤,
설인아,
설현,
성찬(라이즈),
성한빈,
성현(코르티스),Seonghyun (CORTIS)
세훈(엑소),
소연,
소유진,
소이,So Yi-hyun
소지섭,
소희,
손나은(에이핑크),
손석구,
손수현,Son Su-hyun
손연재,
손예진,Son Ye-jin
손종원,Son Jong-won
솔라(마마무),
송강,
송중기,
송혜교,Song Hye-kyo
쇼타로,
수영(소녀시대),
수지,Suzy
수호,
슈가,
슈화,
스텔라장,
승관,
시온(NCT 위시),
신세경,Shin Se-kyung
신소율,
신시아,Cynthia
신예은,
신유,
심은경,Shim Eun-kyung
아이린(레드벨벳),Irene (Red Velvet)
아이유,IU
안보현,
안예은,
안유진(아이브),
안형섭,Ahn Hyung-seop
안효섭,
애쉬아일랜드,
앤톤,
양세찬,
엄지원,
엄태구,
에스쿱스,
엘라(미야오),
연우(모모랜드),
영재,
예리(레드벨벳),
예지원,
